feature,gain,weight,cover,xgb_comp,perm_mean,perm_std,final_score,rank
total_amount,0.15128139342614605,0.21329804338684544,0.06913765536718897,0.14457236406006016,0.08913379918397975,0.0006292469488508727,0.46435064688313693,1
treatment_class,0.06532985296080909,0.14294901921982833,0.057559746033579315,0.08861287273807224,0.09441917178633402,0.0010304939426876993,0.4531677194061,2
clinic_median_duration,0.18336679711395754,0.037895465901501474,0.1174261150417939,0.11289612601908432,0.08750879332176523,0.0007984465285452334,0.4384601712501681,3
clinic_pct_long,0.0952851511120687,0.22064461869542631,0.11079346479914857,0.14224107820221452,0.07291305163438541,0.001112270201805266,0.39422873077681125,4
doctor_pct_long,0.05206841463552248,0.06777648601182377,0.1471996328851375,0.08901484451082792,0.01587253200769122,0.0006284293954884324,0.12062694737247276,5
tooth_count,0.040284044895087044,0.03209488708041655,0.07401034813712094,0.048796426704208175,0.0048773624724475885,0.00037616967659056925,0.049912185088920424,6
has_tooth_no,0.06644484620849948,0.014866302223761348,0.04043422741197358,0.04058179194807814,0.005413168878675623,0.00035126553705607644,0.04725347847292731,7
appointment_rank_in_day,0.029546073343510663,0.07661958592030078,0.043823314651428136,0.04999632463841319,0.0017340430521033735,0.00044889254495190104,0.03731468614433843,8
surface_count,0.037511133290928436,0.01616493927325797,0.06553795701964081,0.03973800986127574,0.002007222248276519,0.0002155382500360726,0.03231708742549702,9
has_notes,0.035912725491794174,0.02248497291414154,0.022805114734403227,0.02706760438011298,0.0035900201660179266,0.000214451312951711,0.03142075271639349,10
composite_treatment_flag,0.06113481046595797,0.0073589432804808666,0.04279756105852028,0.037097104934986365,0.0010739576982600973,0.00017128905283259974,0.026778542077607118,11
appt_day_of_week,0.02859809093940681,0.06916169886462017,0.019379949921387023,0.03904657990847133,0.0005029780049711552,0.00021041675680808744,0.025529132633355604,12
doctor_median_duration,0.04355271313661879,0.008843099908477007,0.058130737367148376,0.03684218347074806,7.0346574121860074e-06,0.00010410342297251495,0.022105310082448835,13
appt_hour_bucket,0.030380082516534852,0.04370841269448636,0.023276480587783206,0.0324549919329348,0.0005651174787787983,0.00026842541896081903,0.021837448851528937,14
is_first_case,0.026485776500721172,0.00510797239468672,0.07011969529965302,0.033904481398353635,4.689771608124005e-05,8.156697993214362e-05,0.02051157838842423,15
is_area_treatment,0.02055380814311871,0.015039453830360898,0.02135909441515392,0.018984118796211178,0.0003364911128827974,0.00019215548696891786,0.012786293730219972,16
has_dentist_id,0.032264285819318006,0.005986098399584436,0.016208905268939207,0.018153096495947218,0.00038925104347418136,0.00017364825382521217,0.012511210636048082,17
